long,smiles
Spiro007,O=C(OCCc1ccc(F)cc1)N1CCC2(CC1)C[C@]1(ON2)OC2(CCCCC2)OC1=O
Spiro008,O=C1OC2(CCCCC2)OC12ONCC21CCC1
Spiro009,O=C1OC2(CCCCC2)O[C@@]12CC1(CCOCC1)NO2
Spiro011,O=C1OC2(CCCCC2)OC12CC1(CCSC1)NO2
Spiro012,O=C(OCC1CCC1)N1CC2(C1)C[C@]1(ON2)OC2(CCCCC2)OC1=O
Spiro013,O=C(O[C@H]1CCOC1)N1CC2(C1)C[C@]1(ON2)OC2(CCCCC2)OC1=O
Spiro014,O=C(O[C@H]1CCOC1)N1CCC2(CC1)CC1(ON2)OC2(CCCCC2)OC1=O
Spiro015,O=C1OC2(CCCCC2)O[C@@]12CC1(COC1)NO2
Spiro016,O=C1OC2(CCCCC2)O[C@@]12CC1(CSC1)NO2
Spiro017,O=C1OC2(CCCCC2)O[C@@]12C[C@]1(CCCOC1)NO2
