long,smiles
TerABT001,Nc1ccccc1S
TerABT004,Nc1ccc(F)cc1S
TerABT006,Cc1cc(N)c(S)cc1C
TerABT007,Nc1cc(Br)ccc1S
TerABT010,Nc1c(S)ccc2ccccc12
TerABT012,Nc1cc(Cl)ccc1S
TerABT014,Nc1ccc(Cl)cc1S
TerABT015,COc1ccc(N)c(S)c1
TerABT016,COc1cc(N)c(S)cc1OC
TerABT017,Nc1ccc(Br)cc1S
TerABT018,Nc1c(F)cc(F)cc1S
TerABT023,Cc1cccc(S)c1N
TerTH001,NNC(=S)c1ccccc1
TerTH002,NNC(=S)c1cccs1
TerTH003,NNC(=S)c1ccno1
TerTH004,COc1ccc(C(=S)NN)cc1
TerTH010,NNC(=S)/C=C/c1ccccc1
TerTH012,NNC(=S)c1ccc(O)cc1
TerTH014,NNC(=S)c1cccc([N+](=O)[O-])c1
TerTH015,NNC(=S)c1cc(Cl)cc(Cl)c1
TerTH018,NNC(=S)c1ccccc1Cl
TerTH019,NNC(=S)c1ccc2c(c1)OCO2
TerTH020,CN(C)c1cccc(C(=S)NN)c1
TerTH022,Cc1noc(C)c1C(=S)NN
TerTH025,NNC(=S)c1c[nH]cn1
TerTH026,NNC(=S)c1cn[nH]c1
TerTH027,NNC(=S)c1ccc2[nH]nnc2c1
TerTH028,NNC(=S)c1cccnc1
